from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,balance_in_val,balance_in_total,turn_deb_rub,turn_deb_val,turn_deb_total,turn_cre_rub,turn_cre_val,turn_cre_total,balance_out_rub,balance_out_val,balance_out_total
2018-01-01,2018-01-31,А,30102,А,,0.00000000,,40129154.75000000,0.00000000,40129154.75000000,52672653.44000010,0.00000000,52672653.44000010,-12543498.69000010,0.00000000,-12543498.69000010
2018-01-01,2018-01-31,А,30109,П,,0.00000000,,,0.00000000,,,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30110,А,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,390569.36000000,0.00000000,390569.36000000,-390569.36000000,0.00000000,-390569.36000000
2018-01-01,2018-01-31,А,30111,П,,0.00000000,,19956319.17000000,0.00000000,19956319.17000000,10250078.43000000,0.00000000,10250078.43000000,-9706240.74000000,0.00000000,-9706240.74000000
2018-01-01,2018-01-31,А,30114,А,0.00000000,,,0.00000000,95207940.41954559,95207940.41954559,0.00000000,94664614.52864700,94664614.52864700,0.00000000,543325.89089859,543325.89089859
2018-01-01,2018-01-31,А,30126,П,,0.00000000,,,0.00000000,,,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30202,А,,0.00000000,,,0.00000000,,,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30204,А,,0.00000000,,,0.00000000,,,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30220,П,0.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,11147173.83168000,11147173.83168000,0.00000000,11147173.83168000,11147173.83168000
2018-01-01,2018-01-31,А,30221,А,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30222,П,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30223,П,,0.00000000,,393298.08000000,0.00000000,393298.08000000,2775178.18000000,0.00000000,2775178.18000000,2381880.10000000,0.00000000,2381880.10000000
2018-01-01,2018-01-31,А,30232,П,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30233,А,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000
2018-01-01,2018-01-31,А,30236,П,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000,4914035.44513200,4914035.44513200,0.00000000,4914035.44513200,4914035.44513200
2018-01-01,2018-01-31,А,30413,А,,0.00000000,,132311.46000000,0.00000000,132311.46000000,431786.29000000,0.00000000,431786.29000000,-299474.83000000,0.00000000,-299474.83000000
2018-01-01,2018-01-31,А,30424,А,,0.00000000,,381322.62000000,0.00000000,381322.62000000,591321.00000000,0.00000000,591321.00000000,-209998.38000000,0.00000000,-209998.38000000
2018-01-01,2018-01-31,А,30425,А,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000
